This is a full list of config-variables changed by actions. The format is: Section_CommandID(AID) and then the configvariable altered.
The INT/DOUBLE-values are a hint to what has changed to what, but isn't 100%-accurate.

The list isn't cleaned yet, means, while creating this list, some false positives happened through the process. 
All false positives are entries with only one or two appearances of the same commandID, while all valid ones are always three times.

Meo Mespotine - mespotine.de for the ultraschall.fm-project

Sec:0_AID:40197=mixeruiflag 	 - INT: 42  - DOUBLE: -2.0
Sec:0_AID:40198=mixeruiflag 	 - INT: 58  - DOUBLE: -2.0
Sec:0_AID:40198=mixeruiflag 	 - INT: 42  - DOUBLE: -2.0
Sec:0_AID:40198=mixeruiflag 	 - INT: 58  - DOUBLE: -2.0
Sec:0_AID:40199=mixeruiflag 	 - INT: 26  - DOUBLE: -2.0
Sec:0_AID:40199=mixeruiflag 	 - INT: 58  - DOUBLE: -2.0
Sec:0_AID:40199=mixeruiflag 	 - INT: 26  - DOUBLE: -2.0
Sec:0_AID:40221=showctinmix 	 - INT: -2  - DOUBLE: -2.0
Sec:0_AID:40221=showctinmix 	 - INT: -1  - DOUBLE: -2.0
Sec:0_AID:40221=showctinmix 	 - INT: -2  - DOUBLE: -2.0
Sec:0_AID:40239=aot 	 - INT: -2  - DOUBLE: -2.0
Sec:0_AID:40239=aot 	 - INT: -1  - DOUBLE: -2.0
Sec:0_AID:40239=aot 	 - INT: -2  - DOUBLE: -2.0
Sec:0_AID:40249=takelanes 	 - INT: 46  - DOUBLE: -2.0
Sec:0_AID:40249=takelanes 	 - INT: 30  - DOUBLE: -2.0
Sec:0_AID:40249=takelanes 	 - INT: 46  - DOUBLE: -2.0
Sec:0_AID:40252=projrecmode 	 - INT: -1  - DOUBLE: -2.0
Sec:0_AID:40253=projrecmode 	 - INT: -2  - DOUBLE: -2.0
Sec:0_AID:40258=labelitems2 	 - INT: 45  - DOUBLE: -2.0
Sec:0_AID:40258=labelitems2 	 - INT: 37  - DOUBLE: -2.0
Sec:0_AID:40258=labelitems2 	 - INT: 45  - DOUBLE: -2.0
Sec:0_AID:40262=viewadvance 	 - INT: 22  - DOUBLE: -2.0
Sec:0_AID:40262=viewadvance 	 - INT: 24  - DOUBLE: -2.0
Sec:0_AID:40262=viewadvance 	 - INT: 22  - DOUBLE: -2.0
Sec:0_AID:40263=copyimpmedia 	 - INT: 23  - DOUBLE: -2.0
Sec:0_AID:40263=copyimpmedia 	 - INT: 22  - DOUBLE: -2.0
Sec:0_AID:40263=copyimpmedia 	 - INT: 23  - DOUBLE: -2.0
Sec:0_AID:40276=itemclickmovecurs 	 - INT: 29  - DOUBLE: -2.0
Sec:0_AID:40276=itemclickmovecurs 	 - INT: 25  - DOUBLE: -2.0
Sec:0_AID:40276=itemclickmovecurs 	 - INT: 29  - DOUBLE: -2.0
Sec:0_AID:40300=itemclickmovecurs 	 - INT: 13  - DOUBLE: -2.0
Sec:0_AID:40300=itemclickmovecurs 	 - INT: 29  - DOUBLE: -2.0
