This is a full list of config-variables changed by actions in the Main-section. The format is: Section_CommandID(AID) and then the configvariable altered.
The INT/DOUBLE-values are a hint to what has changed to what, but isn't 100%-accurate.

The list isn't cleaned yet, means, while creating this list, some false positives happened through the process. 
All false positives are entries with only one or two appearances of the same commandID, while all valid ones are always three times.

Meo Mespotine - mespotine.de for the ultraschall.fm-project

Sec:32060_AID:40249=takelanes 	 - INT: 78  - DOUBLE: -2.0
Sec:32060_AID:40252=projrecmode 	 - INT: -1  - DOUBLE: -2.0
Sec:32060_AID:40253=projrecmode 	 - INT: -2  - DOUBLE: -2.0
Sec:32060_AID:40258=labelitems2 	 - INT: 57  - DOUBLE: -2.0
Sec:32060_AID:40258=labelitems2 	 - INT: 49  - DOUBLE: -2.0
Sec:32060_AID:40258=labelitems2 	 - INT: 57  - DOUBLE: -2.0
Sec:32060_AID:40262=viewadvance 	 - INT: 13  - DOUBLE: -2.0
Sec:32060_AID:40262=viewadvance 	 - INT: 11  - DOUBLE: -2.0
Sec:32060_AID:40262=viewadvance 	 - INT: 13  - DOUBLE: -2.0
Sec:32060_AID:40263=copyimpmedia 	 - INT: 26  - DOUBLE: -2.0
Sec:32060_AID:40263=copyimpmedia 	 - INT: 27  - DOUBLE: -2.0
Sec:32060_AID:40263=copyimpmedia 	 - INT: 26  - DOUBLE: -2.0
Sec:32060_AID:40276=itemclickmovecurs 	 - INT: 21  - DOUBLE: -2.0
Sec:32060_AID:40276=itemclickmovecurs 	 - INT: 17  - DOUBLE: -2.0
Sec:32060_AID:40276=itemclickmovecurs 	 - INT: 21  - DOUBLE: -2.0
Sec:32060_AID:40300=itemclickmovecurs 	 - INT: 5  - DOUBLE: -2.0
Sec:32060_AID:40300=itemclickmovecurs 	 - INT: 21  - DOUBLE: -2.0
Sec:32060_AID:40300=itemclickmovecurs 	 - INT: 5  - DOUBLE: -2.0
Sec:32060_AID:40310=projripedit 	 - INT: -1  - DOUBLE: -2.0
Sec:32060_AID:40311=projripedit 	 - INT: 0  - DOUBLE: -2.0
Sec:32060_AID:40346=isFullscreen 	 - INT: -2  - DOUBLE: -2.0
Sec:32060_AID:40346=isFullscreen 	 - INT: -1  - DOUBLE: -2.0
Sec:32060_AID:40346=isFullscreen 	 - INT: -2  - DOUBLE: -2.0
Sec:32060_AID:40364=projmetroen 	 - INT: 32  - DOUBLE: -2.0
Sec:32060_AID:40364=projmetroen 	 - INT: 33  - DOUBLE: -2.0
Sec:32060_AID:40364=projmetroen 	 - INT: 32  - DOUBLE: -2.0
Sec:32060_AID:40365=projtimemode 	 - INT: -2  - DOUBLE: -2.0
Sec:32060_AID:40366=projtimemode 	 - INT: -1  - DOUBLE: -2.0
Sec:32060_AID:40367=projtimemode 	 - INT: 0  - DOUBLE: -2.0
Sec:32060_AID:40368=projtimemode 	 - INT: 1  - DOUBLE: -2.0
Sec:32060_AID:40369=projtimemode 	 - INT: 2  - DOUBLE: -2.0
Sec:32060_AID:40370=projtimemode 	 - INT: 3  - DOUBLE: -2.0
Sec:32060_AID:40371=mixrowflags 	 - INT: 448  - DOUBLE: -2.0
Sec:32060_AID:40371=mixrowflags 	 - INT: 449  - DOUBLE: -2.0
Sec:32060_AID:40371=mixrowflags 	 - INT: 448  - DOUBLE: -2.0
Sec:32060_AID:40372=mixrowflags 	 - INT: 446  - DOUBLE: -2.0
Sec:32060_AID:40372=mixrowflags 	 - INT: 448  - DOUBLE: -2.0
Sec:32060_AID:40372=mixrowflags 	 - INT: 446  - DOUBLE: -2.0
Sec:32060_AID:40379=projtimemode2 	 - INT: -3  - DOUBLE: -2.0
Sec:32060_AID:40389=mixerflag 	 - INT: 13  - DOUBLE: -2.0
Sec:32060_AID:40389=mixrowflags 	 - INT: 450  - DOUBLE: -2.0
Sec:32060_AID:40389=mixrowflags 	 - INT: 446  - DOUBLE: -2.0
Sec:32060_AID:40389=mixrowflags 	 - INT: 450  - DOUBLE: -2.0
Sec:32060_AID:40390=smoothseek 	 - INT: 26  - DOUBLE: -2.0
Sec:32060_AID:40390=smoothseek 	 - INT: 27  - DOUBLE: -2.0
Sec:32060_AID:40390=smoothseek 	 - INT: 26  - DOUBLE: -2.0
Sec:32060_AID:40410=projtimemode2 	 - INT: -2  - DOUBLE: -2.0
Sec:32060_AID:40411=projtimemode2 	 - INT: 0  - DOUBLE: -2.0
Sec:32060_AID:40412=projtimemode2 	 - INT: 1  - DOUBLE: -2.0
Sec:32060_AID:40413=projtimemode2 	 - INT: 2  - DOUBLE: -2.0
Sec:32060_AID:40414=projtimemode2 	 - INT: 3  - DOUBLE: -2.0
Sec:32060_AID:40435=projtakelane 	 - INT: 29  - DOUBLE: -2.0
Sec:32060_AID:40435=projtakelane 	 - INT: 28  - DOUBLE: -2.0
Sec:32060_AID:40435=projtakelane 	 - INT: 29  - DOUBLE: -2.0
Sec:32060_AID:40507=projtakelane 	 - INT: 27  - DOUBLE: -2.0
Sec:32060_AID:40507=projtakelane 	 - INT: 29  - DOUBLE: -2.0
Sec:32060_AID:40507=projtakelane 	 - INT: 27  - DOUBLE: -2.0
Sec:32060_AID:40531=transflags 	 - INT: 136  - DOUBLE: -2.0
Sec:32060_AID:40531=transflags 	 - INT: 137  - DOUBLE: -2.0
Sec:32060_AID:40531=transflags 	 - INT: 136  - DOUBLE: -2.0
Sec:32060_AID:40532=transflags 	 - INT: 134  - DOUBLE: -2.0
Sec:32060_AID:40532=transflags 	 - INT: 136  - DOUBLE: -2.0
Sec:32060_AID:40532=transflags 	 - INT: 134  - DOUBLE: -2.0
Sec:32060_AID:40533=transflags 	 - INT: 126  - DOUBLE: -2.0
Sec:32060_AID:40533=transflags 	 - INT: 134  - DOUBLE: -2.0
Sec:32060_AID:40533=transflags 	 - INT: 126  - DOUBLE: -2.0
Sec:32060_AID:40534=projtimemode2 	 - INT: -1  - DOUBLE: -2.0
Sec:32060_AID:40549=mixrowflags 	 - INT: 466  - DOUBLE: -2.0
Sec:32060_AID:40549=mixrowflags 	 - INT: 450  - DOUBLE: -2.0
Sec:32060_AID:40549=mixrowflags 	 - INT: 466  - DOUBLE: -2.0
Sec:32060_AID:40557=mixrowflags 	 - INT: 498  - DOUBLE: -2.0
Sec:32060_AID:40557=mixrowflags 	 - INT: 466  - DOUBLE: -2.0
Sec:32060_AID:40557=mixrowflags 	 - INT: 498  - DOUBLE: -2.0
Sec:32060_AID:40573=projsellock 	 - INT: 24553  - DOUBLE: -2.0
Sec:32060_AID:40573=projsellock 	 - INT: 24552  - DOUBLE: -2.0
Sec:32060_AID:40573=projsellock 	 - INT: 24553  - DOUBLE: -2.0
Sec:32060_AID:40576=projsellock 	 - INT: 24551  - DOUBLE: -2.0
Sec:32060_AID:40576=projsellock 	 - INT: 24553  - DOUBLE: -2.0
Sec:32060_AID:40576=projsellock 	 - INT: 24551  - DOUBLE: -2.0
Sec:32060_AID:40579=projsellock 	 - INT: 24487  - DOUBLE: -2.0
Sec:32060_AID:40579=projsellock 	 - INT: 24551  - DOUBLE: -2.0
Sec:32060_AID:40579=projsellock 	 - INT: 24487  - DOUBLE: -2.0
Sec:32060_AID:40582=projsellock 	 - INT: 24359  - DOUBLE: -2.0
Sec:32060_AID:40582=projsellock 	 - INT: 24487  - DOUBLE: -2.0
Sec:32060_AID:40582=projsellock 	 - INT: 24359  - DOUBLE: -2.0
Sec:32060_AID:40585=projsellock 	 - INT: 24363  - DOUBLE: -2.0
Sec:32060_AID:40585=projsellock 	 - INT: 24359  - DOUBLE: -2.0
Sec:32060_AID:40585=projsellock 	 - INT: 24363  - DOUBLE: -2.0
Sec:32060_AID:40588=projsellock 	 - INT: 24379  - DOUBLE: -2.0
Sec:32060_AID:40588=projsellock 	 - INT: 24363  - DOUBLE: -2.0
Sec:32060_AID:40588=projsellock 	 - INT: 24379  - DOUBLE: -2.0
Sec:32060_AID:40591=projsellock 	 - INT: 24371  - DOUBLE: -2.0
Sec:32060_AID:40591=projsellock 	 - INT: 24379  - DOUBLE: -2.0
Sec:32060_AID:40591=projsellock 	 - INT: 24371  - DOUBLE: -2.0
Sec:32060_AID:40594=projsellock 	 - INT: 24339  - DOUBLE: -2.0
Sec:32060_AID:40594=projsellock 	 - INT: 24371  - DOUBLE: -2.0
Sec:32060_AID:40594=projsellock 	 - INT: 24339  - DOUBLE: -2.0
Sec:32060_AID:40597=projsellock 	 - INT: 24083  - DOUBLE: -2.0
Sec:32060_AID:40597=projsellock 	 - INT: 24339  - DOUBLE: -2.0
Sec:32060_AID:40597=projsellock 	 - INT: 24083  - DOUBLE: -2.0
Sec:32060_AID:40600=projsellock 	 - INT: 23571  - DOUBLE: -2.0
Sec:32060_AID:40600=projsellock 	 - INT: 24083  - DOUBLE: -2.0
Sec:32060_AID:40600=projsellock 	 - INT: 23571  - DOUBLE: -2.0
Sec:32060_AID:40620=projsmptesync 	 - INT: 26  - DOUBLE: -2.0
Sec:32060_AID:40620=projsmptesync 	 - INT: 27  - DOUBLE: -2.0
Sec:32060_AID:40620=projsmptesync 	 - INT: 26  - DOUBLE: -2.0
Sec:32060_AID:40621=locklooptotime 	 - INT: -2  - DOUBLE: -2.0
Sec:32060_AID:40621=locklooptotime 	 - INT: -1  - DOUBLE: -2.0
Sec:32060_AID:40621=locklooptotime 	 - INT: -2  - DOUBLE: -2.0
Sec:32060_AID:40629=projsellock 	 - INT: 22547  - DOUBLE: -2.0
Sec:32060_AID:40629=projsellock 	 - INT: 23571  - DOUBLE: -2.0
Sec:32060_AID:40629=projsellock 	 - INT: 22547  - DOUBLE: -2.0
Sec:32060_AID:40648=env_reduce 	 - INT: 1696  - DOUBLE: -2.0
Sec:32060_AID:40648=env_reduce 	 - INT: 1694  - DOUBLE: -2.0
Sec:32060_AID:40648=env_reduce 	 - INT: 1696  - DOUBLE: -2.0
Sec:32060_AID:40649=env_reduce 	 - INT: 1700  - DOUBLE: -2.0
Sec:32060_AID:40649=env_reduce 	 - INT: 1696  - DOUBLE: -2.0
Sec:32060_AID:40649=env_reduce 	 - INT: 1700  - DOUBLE: -2.0
Sec:32060_AID:40650=env_reduce 	 - INT: 1701  - DOUBLE: -2.0
Sec:32060_AID:40650=env_reduce 	 - INT: 1700  - DOUBLE: -2.0
Sec:32060_AID:40650=env_reduce 	 - INT: 1701  - DOUBLE: -2.0
Sec:32060_AID:40651=itemtexthide 	 - INT: -2  - DOUBLE: -2.0
Sec:32060_AID:40651=itemtexthide 	 - INT: -1  - DOUBLE: -2.0
Sec:32060_AID:40651=itemtexthide 	 - INT: -2  - DOUBLE: -2.0
Sec:32060_AID:40671=audioprshift 	 - INT: -2  - DOUBLE: -2.0
Sec:32060_AID:40671=audioprshift 	 - INT: -1  - DOUBLE: -2.0
Sec:32060_AID:40671=audioprshift 	 - INT: -2  - DOUBLE: -2.0
Sec:32060_AID:40673=psmaxv 	 - INT: -2  - DOUBLE: 2.0
Sec:32060_AID:40673=psminv 	 - INT: -2  - DOUBLE: -1.75
Sec:32060_AID:40676=psmaxv 	 - INT: -1610612738  - DOUBLE: -0.89999997615814
Sec:32060_AID:40676=psminv 	 - INT: -1073741826  - DOUBLE: -1.1000000238419
Sec:32060_AID:40680=transflags 	 - INT: 130  - DOUBLE: -2.0
Sec:32060_AID:40680=transflags 	 - INT: 126  - DOUBLE: -2.0
Sec:32060_AID:40680=transflags 	 - INT: 130  - DOUBLE: -2.0
Sec:32060_AID:40691=cueitems 	 - INT: -2  - DOUBLE: -2.0
Sec:32060_AID:40691=cueitems 	 - INT: -1  - DOUBLE: -2.0
Sec:32060_AID:40691=cueitems 	 - INT: -2  - DOUBLE: -2.0
Sec:32060_AID:40745=solodimen 	 - INT: -2  - DOUBLE: -2.0
Sec:32060_AID:40745=solodimen 	 - INT: -1  - DOUBLE: -2.0
Sec:32060_AID:40745=solodimen 	 - INT: -2  - DOUBLE: -2.0
